# Light curves of Betelgeuse in 0.45-13.5 micron measured with images taken by 
# the Himawari-8 meteorological satellite (converted to AB magnitudes). 
# Last updated on 2022-06-13T04:23:46
# 
# Original paper: 
#   Daisuke Taniguchi, Kazuya Yamazaki, and Shinsuke Uno
#   "The Great Dimming of Betelgeuse seen by the Himawari-8 meteorological satellite"
#   Nature Astronomy, volume, page (2022)
#   DOI: 10.1038/s41550-022-01680-5
# 
# Column descriptions: 
#   1st column: Observation date in UTC (accuracy of 10 min). 
#   The others: AB magnitude of each band (only for Bands 2 and 3). 
# 
#Date (UTC)     ,Band 02,Band 03
2018-11-19 05:00, 1.3260, 0.0611
2018-11-24 04:40, 1.3600, 0.0499
2018-11-26 03:50, 1.0843,-0.0831
2018-11-27 03:50,-------,-------
2018-11-27 04:30, 1.3478, 0.0550
2018-11-29 04:20, 1.4081, 0.0781
2018-12-02 03:30, 1.1704, 0.1169
2018-12-04 03:20, 1.3199, 0.0026
2018-12-04 04:00,-------,-------
2018-12-05 04:00, 1.2749, 0.1770
2018-12-06 03:10, 1.3854, 0.0912
2018-12-07 03:10, 1.2107, 0.0388
2018-12-07 03:50, 0.9911, 0.2231
2018-12-09 03:00, 1.6054, 0.0053
2018-12-10 03:40, 1.4180, 0.0623
2018-12-11 02:50, 1.8467, 0.2467
2018-12-12 02:50, 1.0114, 0.1269
2018-12-12 03:30, 1.0484, 0.1789
2018-12-13 02:50,-------,-------
2018-12-17 02:30, 1.5859, 0.2553
2018-12-17 03:10, 1.2440, 0.0809
2018-12-19 02:20, 1.3758, 0.0100
2018-12-20 03:00, 1.5668, 0.2307
2018-12-22 02:10,-------,-------
2018-12-22 02:50, 1.5143, 0.0221
2018-12-23 02:50, 1.2189,-0.0479
2018-12-24 02:00, 1.3663, 0.1064
2018-12-25 02:00,-------,-------
2018-12-27 02:30, 1.1040, 0.3073
2018-12-29 01:40, 1.2134,-0.0380
2018-12-30 01:40, 1.2328, 0.0072
2018-12-30 02:20, 1.2272, 0.0778
2019-01-01 01:30, 1.3568, 0.0493
2019-01-01 02:10,-------,-------
2019-01-02 02:10, 1.5592, 0.1420
2019-01-03 01:20, 1.0650, 0.1790
2019-01-04 01:20, 1.1132, 0.0376
2019-01-04 02:00, 1.4213, 0.1253
2019-01-06 01:10, 1.3290, 0.1760
2019-01-07 01:50, 1.6956, 0.1591
2019-01-08 01:00, 1.1341, 0.1693
2019-01-09 01:00, 1.3631, 0.1880
2019-01-09 01:40, 1.4114, 0.3343
2019-01-11 00:50, 1.3983,-0.0663
2019-01-14 00:40, 1.0819, 0.2357
2019-01-14 01:20, 1.3019,-0.0996
2019-01-16 00:30, 1.4114, 0.0216
2019-01-17 01:10, 1.1291, 0.0048
2019-01-19 00:20,-------,-------
